848	69629
800	69630
768	69631
784	69632
784	69633
800	69634
760	69635
752	69636
712	69637
696	69638
688	69639
656	69640
648	69641
648	69642
688	69643
680	69644
688	69645
720	69646
752	69647
768	69648
760	69649
752	69650
736	69651
704	69652
696	69653
688	69654
688	69655
688	69656
696	69657
664	69658
664	69659
656	69660
680	69661
720	69662
744	69663
784	69664
776	69665
768	69666
784	69667
768	69668
832	69669
864	69670
856	69671
832	69672
744	69673
808	69674
704	69675
808	69676
808	69677
808	69678
808	69679
672	69680
672	69681
648	69682
664	69683
704	69684
776	69685
776	69686
752	69687
784	69688
808	69689
824	69690
784	69691
744	69692
728	69693
728	69694
800	69695
832	69696
800	69697
816	69698
808	69699
752	69700
720	69701
712	69702
696	69703
712	69704
704	69705
688	69706
672	69707
656	69708
656	69709
664	69710
688	69711
760	69712
784	69713
816	69714
816	69715
800	69716
808	69717
816	69718
840	69719
840	69720
856	69721
880	69722
896	69723
848	69724
824	69725
816	69726
776	69727
728	69728
704	69729
704	69730
720	69731
768	69732
824	69733
856	69734
856	69735
848	69736
856	69737
856	69738
848	69739
864	69740
872	69741
888	69742
904	69743
896	69744
888	69745
896	69746
880	69747
872	69748
888	69749
904	69750
912	69751
888	69752
880	69753
896	69754
872	69755
872	69756
864	69757
896	69758
936	69759
952	69760
952	69761
952	69762
952	69763
944	69764
928	69765
920	69766
912	69767
912	69768
912	69769
936	69770
944	69771
952	69772
920	69773
928	69774
920	69775
912	69776
880	69777
872	69778
864	69779
880	69780
888	69781
880	69782
912	69783
904	69784
864	69785
872	69786
880	69787
888	69788
872	69789
880	69790
920	69791
920	69792
928	69793
896	69794
912	69795
912	69796
912	69797
904	69798
896	69799
896	69800
904	69801
896	69802
880	69803
912	69804
928	69805
920	69806
880	69807
856	69808
808	69809
784	69810
736	69811
784	69812
856	69813
896	69814
912	69815
896	69816
936	69817
952	69818
944	69819
936	69820
928	69821
928	69822
904	69823
888	69824
904	69825
904	69826
912	69827
880	69828
904	69829
904	69830
896	69831
888	69832
928	69833
952	69834
968	69835
928	69836
952	69837
952	69838
960	69839
944	69840
904	69841
944	69842
944	69843
936	69844
920	69845
928	69846
944	69847
944	69848
920	69849
896	69850
936	69851
936	69852
936	69853
920	69854
960	69855
960	69856
960	69857
936	69858
936	69859
944	69860
944	69861
944	69862
920	69863
952	69864
936	69865
968	69866
976	69867
952	69868
960	69869
944	69870
952	69871
912	69872
928	69873
936	69874
944	69875
928	69876
936	69877
944	69878
960	69879
952	69880
936	69881
960	69882
952	69883
936	69884
912	69885
920	69886
936	69887
944	69888
936	69889
912	69890
944	69891
944	69892
984	69893
984	69894
968	69895
1000	69896
1008	69897
992	69898
960	69899
968	69900
960	69901
928	69902
904	69903
904	69904
920	69905
880	69906
856	69907
872	69908
888	69909
896	69910
904	69911
888	69912
880	69913
880	69914
872	69915
864	69916
896	69917
920	69918
912	69919
896	69920
936	69921
944	69922
920	69923
888	69924
928	69925
936	69926
920	69927
904	69928
920	69929
944	69930
928	69931
904	69932
920	69933
928	69934
912	69935
888	69936
904	69937
912	69938
888	69939
880	69940
912	69941
944	69942
952	69943
944	69944
952	69945
944	69946
944	69947
936	69948
920	69949
952	69950
952	69951
960	69952
944	69953
968	69954
968	69955
968	69956
936	69957
928	69958
936	69959
936	69960
928	69961
928	69962
936	69963
952	69964
928	69965
920	69966
936	69967
928	69968
904	69969
896	69970
920	69971
928	69972
928	69973
912	69974
920	69975
936	69976
912	69977
896	69978
904	69979
928	69980
920	69981
912	69982
912	69983
920	69984
912	69985
904	69986
888	69987
904	69988
904	69989
880	69990
888	69991
896	69992
920	69993
912	69994
912	69995
944	69996
960	69997
936	69998
896	69999
880	70000
888	70001
896	70002
904	70003
904	70004
904	70005
912	70006
920	70007
912	70008
888	70009
896	70010
904	70011
896	70012
904	70013
928	70014
928	70015
920	70016
920	70017
936	70018
936	70019
928	70020
880	70021
864	70022
864	70023
864	70024
880	70025
888	70026
968	70027
992	70028
960	70029
928	70030
928	70031
936	70032
904	70033
872	70034
864	70035
856	70036
848	70037
824	70038
840	70039
856	70040
864	70041
848	70042
848	70043
856	70044
856	70045
856	70046
848	70047
856	70048
856	70049
856	70050
840	70051
848	70052
856	70053
840	70054
832	70055
816	70056
840	70057
840	70058
840	70059
824	70060
848	70061
856	70062
864	70063
880	70064
872	70065
888	70066
904	70067
904	70068
864	70069
872	70070
872	70071
856	70072
856	70073
848	70074
856	70075
856	70076
856	70077
840	70078
856	70079
856	70080
856	70081
848	70082
856	70083
864	70084
848	70085
832	70086
840	70087
832	70088
800	70089
776	70090
720	70091
696	70092
696	70093
736	70094
728	70095
712	70096
696	70097
680	70098
680	70099
704	70100
696	70101
688	70102
688	70103
672	70104
664	70105
648	70106
672	70107
704	70108
728	70109
736	70110
768	70111
816	70112
816	70113
768	70114
744	70115
744	70116
736	70117
800	70118
856	70119
856	70120
800	70121
768	70122
744	70123
768	70124
800	70125
816	70126
832	70127
888	70128
888	70129
904	70130
864	70131
880	70132
888	70133
888	70134
872	70135
872	70136
912	70137
976	70138
1000	70139
1000	70140
960	70141
936	70142
928	70143
896	70144
880	70145
928	70146
944	70147
952	70148
896	70149
912	70150
912	70151
888	70152
864	70153
880	70154
904	70155
896	70156
880	70157
920	70158
920	70159
920	70160
904	70161
904	70162
904	70163
880	70164
832	70165
792	70166
792	70167
784	70168
792	70169
808	70170
784	70171
744	70172
728	70173
712	70174
728	70175
728	70176
704	70177
704	70178
704	70179
704	70180
696	70181
712	70182
712	70183
720	70184
720	70185
728	70186
712	70187
