864	53301
880	53302
840	53303
872	53304
864	53305
848	53306
856	53307
904	53308
936	53309
864	53310
872	53311
888	53312
944	53313
888	53314
920	53315
904	53316
888	53317
896	53318
912	53319
872	53320
864	53321
896	53322
872	53323
856	53324
888	53325
896	53326
848	53327
880	53328
904	53329
880	53330
856	53331
896	53332
864	53333
872	53334
888	53335
872	53336
888	53337
864	53338
872	53339
896	53340
872	53341
888	53342
904	53343
864	53344
840	53345
856	53346
872	53347
832	53348
856	53349
864	53350
928	53351
864	53352
904	53353
896	53354
936	53355
848	53356
928	53357
904	53358
864	53359
880	53360
912	53361
912	53362
864	53363
880	53364
896	53365
864	53366
872	53367
896	53368
896	53369
904	53370
904	53371
936	53372
960	53373
880	53374
928	53375
912	53376
928	53377
888	53378
888	53379
896	53380
856	53381
832	53382
872	53383
880	53384
856	53385
864	53386
904	53387
872	53388
856	53389
912	53390
920	53391
888	53392
856	53393
904	53394
920	53395
880	53396
864	53397
888	53398
872	53399
872	53400
880	53401
880	53402
904	53403
896	53404
896	53405
912	53406
904	53407
888	53408
904	53409
904	53410
896	53411
928	53412
928	53413
920	53414
912	53415
920	53416
920	53417
872	53418
904	53419
896	53420
856	53421
864	53422
872	53423
904	53424
864	53425
928	53426
944	53427
872	53428
888	53429
952	53430
944	53431
888	53432
928	53433
936	53434
912	53435
912	53436
896	53437
912	53438
864	53439
896	53440
912	53441
904	53442
912	53443
920	53444
944	53445
872	53446
904	53447
904	53448
920	53449
872	53450
904	53451
936	53452
904	53453
912	53454
944	53455
944	53456
880	53457
920	53458
928	53459
880	53460
872	53461
888	53462
944	53463
864	53464
864	53465
872	53466
912	53467
848	53468
872	53469
872	53470
880	53471
848	53472
880	53473
888	53474
848	53475
880	53476
896	53477
888	53478
856	53479
888	53480
880	53481
912	53482
856	53483
888	53484
864	53485
888	53486
840	53487
880	53488
912	53489
856	53490
888	53491
896	53492
952	53493
880	53494
912	53495
912	53496
936	53497
872	53498
896	53499
920	53500
888	53501
880	53502
888	53503
928	53504
888	53505
896	53506
888	53507
920	53508
832	53509
904	53510
896	53511
856	53512
848	53513
856	53514
872	53515
864	53516
856	53517
872	53518
864	53519
848	53520
888	53521
880	53522
880	53523
848	53524
856	53525
904	53526
880	53527
872	53528
864	53529
872	53530
848	53531
880	53532
872	53533
888	53534
848	53535
872	53536
920	53537
848	53538
864	53539
888	53540
920	53541
888	53542
880	53543
880	53544
920	53545
856	53546
896	53547
896	53548
904	53549
872	53550
912	53551
888	53552
880	53553
880	53554
904	53555
888	53556
856	53557
880	53558
888	53559
896	53560
808	53561
872	53562
848	53563
864	53564
872	53565
904	53566
896	53567
864	53568
888	53569
904	53570
880	53571
896	53572
912	53573
872	53574
856	53575
872	53576
896	53577
888	53578
856	53579
888	53580
896	53581
856	53582
888	53583
888	53584
896	53585
864	53586
880	53587
928	53588
888	53589
872	53590
856	53591
864	53592
824	53593
792	53594
776	53595
752	53596
760	53597
776	53598
776	53599
816	53600
872	53601
848	53602
848	53603
904	53604
936	53605
896	53606
936	53607
936	53608
1000	53609
904	53610
920	53611
928	53612
968	53613
872	53614
912	53615
912	53616
